text,trafficflow
Traffic jam caused by an accident.,1
Light vehicle presence,0
heavy congestion during rush hours,1
Open expressways,0
Understated,0
smooth flow,0
Morning errands saw light traffic on suburban roads.,0
Refined,0
Low commuter numbers were observed as more people worked from home.,0
The city is experiencing heavy traffic due to high usage.,1
Significant delays near the terminal.,1
Limited road users,0
limited movement during peak hours,1
Bad weather is causing heavy traffic across the city.,1
Light traffic,0
Minimal travel disruptions,0
Traffic is crawling near the concert venue due to increased cars.,1
high volume,1
Low traffic interference,0
Limited road users,0
Highway congestion,1
Traffic is flowing nicely,0
Roads are congested due to an increase in daily commuters.,1
Sparse urban traffic,0
Pavement repairs in the city center are causing detours and delays.,1
Non-rush hours,0
Traffic is at a standstill due to high commuter volume.,1
Luminous,0
Police activity at the accident site is causing drivers to slow down.,1
Commuters are dealing with slow traffic on the freeway.,1
Low rainfall contributed to smooth and low traffic on major routes.,0
Bottlenecked traffic,1
Sparse vehicle presence,0
abundant flow,1
Moderate,0
Silken,0
slow transit times,1
The streets are crowded due to after-work traffic.,1
Early hours saw low traffic as clear skies supported smooth travel.,0
Non-peak hours,0
Low congestion zones,0
Weekend events outside the city kept traffic light on downtown streets.,0
Morning commuters are facing significant traffic delays.,1
Road maintenance equipment blocking a lane is causing delays.,1
Low traffic was observed on toll roads thanks to free-flowing lanes.,0
Citywide construction is causing traffic bottlenecks.,1
high volume flow,1
The roads are jammed with vehicles after work hours.,1
Even,0
Traffic snarl,1
Lane closures for construction are adding to delays.,1
Clear commute,0
Speed bumps installed near the hospital are affecting traffic flow.,1
empty streets,0
Citywide construction is causing traffic bottlenecks.,1
Severe thunderstorms are causing vehicles to move cautiously.,1
Understood,0
high volume flow,1
Traffic bottleneck,1
jam-packed roads,1
Traffic jam caused by an accident.,1
The highway is experiencing traffic delays due to fog.,1
high volume flow,1
The weather is causing heavy delays on major routes.,1
Balanced,0
"Rain has led to slow, congested traffic throughout the city.",1
Minimal road congestion,0
Traffic is at a standstill due to high commuter volume.,1
Pavement repairs in the city center are causing detours and delays.,1
No traffic blocks,0
Low roadway congestion,0
Slippery roads are adding to the usual traffic.,1
Little traffic,0
gridlock,1
frequent stops,1
Sparse,0
Slight,0
Low traffic volumes were noted due to clear and sunny weather.,0
"Heavy fog has reduced visibility, leading to slower traffic flow.",1
The streets are gridlocked due to ongoing road repairs.,1
Maintenance on alternative roads kept the primary routes clear and low in traffic.,0
moderate traffic,1
heavy commuter flow,1
Silken,0
Open,0
Low rush hour,0
saturated roads,1
Calm,0
bumper-to-bumper traffic,1
Low density,0
Upgraded bridge infrastructure kept traffic steady and low.,0
"Heavy fog has reduced visibility, leading to slower traffic flow.",1
Streamlined,0
Clear traffic conditions,0
Overfilled roads,1
Heavy transit,1
Congested intersections,1
Foggy conditions are forcing drivers to move at a crawl on the highway.,1
Congested highway,1
Sparse commuting traffic,0
Light showers are leading to cautious driving and traffic.,1
Heavy traffic on the detour route is adding delay to commuters.,1
Low congestion risk,0
traffic spike during rush hour,1
Minimal traffic,0
intense travel periods,1
Clear travel was reported on roads unaffected by construction.,0
Rain and traffic are making travel time longer.,1
Heavy commute,1
Smooth roadway conditions,0
Roadworks on the freeway are causing bumper-to-bumper traffic.,1
Quick completion of construction helped maintain low congestion.,0
The diversion around the landslide area is adding time to the commute.,1
Weekend travel has caused traffic to build up on main routes.,1
Road resurfacing on the bridge is causing lane closures and delays.,1
dense traffic flow,1
Uncluttered traffic,0
Heavy transit,1
Traffic is flowing nicely,0
road blocked; please detour,1
Traffic choke points,1
Bumper-to-bumper traffic reported.,1
High vehicle density,1
Smooth ride,0
The city is experiencing heavy traffic due to high usage.,1
Congested commutes,1
traffic spike during rush hour,1
In plain sight,0
Busy commute,1
Heavy congestion during rush hour.,1
Stable,0
intense flow,1
overflowing traffic lanes,1
Road congestion,1
Rush hour is making the roads extremely congested.,1
Synced traffic signals helped maintain smooth traffic flow.,0
Traffic has been crawling since the start of rush hour.,1
Evident,0
Clear roads,0
empty streets,0
Packed driveways,1
Sandstorm warnings have slowed down traffic in the desert areas.,1
Roadway congestion,1
Low traffic was noted in the area due to completed road repairs.,0
morning rush,1
Low congestion risk,0
Light traffic,0
Many commuters are stuck in heavy traffic due to rain.,1
Cool weather and clear skies helped keep traffic steady.,0
"Construction work had been completed, leading to clear roads.",0
Pavement work on the main road is affecting the flow of traffic.,1
Empty driveways,0
"Speed limits are being strictly enforced in school zones, slowing traffic.",1
Plainspoken,0
Construction on the main road has caused severe delays for drivers.,1
An accident at the intersection has caused traffic to back up for miles.,1
Wide-open expressways,0
Low tourism season has decreased traffic in the coastal areas.,0
"With no accidents, traffic remained light on main routes.",0
Traffic saturation,1
seamless traffic,0
Sparse urban traffic,0
Traffic downtime,0
road work causing delays on the main avenue,1
Light vehicle presence,0
High traffic volume,1
Bright,0
No traffic jams,0
Roadway congestion,1
Public awareness campaigns on carpooling helped reduce vehicle count.,0
Intense traffic,1
Efficient parking management kept congestion minimal downtown.,0
A traffic signal malfunction is causing a bottleneck downtown.,1
Many roads are jammed with cars during rush hour.,1
The absence of roadblocks led to steady traffic on highways.,0
Transparent,0
Light-handed,0
Minimal road congestion,0
Quiet suburban streets had minimal traffic during the midday hours.,0
High traffic flow,1
Luminous,0
heavy_traffic,1
Sparse urban traffic,0
An accident at the intersection has caused traffic to back up for miles.,1
Clear motorways,0
Lane changes for new road paint are creating congestion on the highway.,1
Soft touch,0
Road closures are causing additional congestion.,1
high volume,1
The lack of special events helped maintain smooth traffic.,0
Traffic has slowed to a halt due to a sudden downpour.,1
Little to no congestion,0
Traffic is heavier than normal due to nearby events.,1
Empty driveways,0
high flow,1
Lane restrictions have made the traffic even heavier.,1
School closures over winter break saw reduced morning traffic.,0
easy to go,0
Visible,0
Crisp,0
Lane changes for new road paint are creating congestion on the highway.,1
The absence of traffic jams kept highway speeds steady.,0
Dense street traffic,1
Detours around a broken bridge are causing delays on alternate routes.,1
Packed thoroughfares,1
An absence of road incidents kept traffic light in the suburbs.,0
heavy_traffic,1
Heavy road traffic,1
Minimal traffic,0
A vehicle breakdown in the left lane is creating a long delay.,1
traffic-heavy routes,1
Heavy rains are making driving conditions difficult.,1
high traffic density,1
Traffic bottleneck,1
The highway is experiencing traffic delays due to fog.,1
it was smooth,0
Road blocked; please detour.,1
strong flow,1
harsh flow,1
no backups,0
Low traffic hindrance,0
Free-flowing traffic,0
A sudden rainstorm has slowed down traffic everywhere.,1
Intense traffic,1
"The drive is slow due to slippery, wet roads.",1
vigorous flow,1
The absence of roadblocks led to steady traffic on highways.,0
The main road is congested with morning commuters.,1
Jammed streets,1
Rush hour congestion,1
traffic is flowing well,0
Few traffic light stops led to minimal congestion in intersections.,0
Low traffic load,0
slow moving traffic ahead,1
Crisp,0
Rush hour congestion is making travel slow and frustrating.,1
No traffic jam,0
Resplendent,0
The midday commute saw light traffic and minimal slowdowns.,0
Clogged roads,1
No backups,0
Traffic influx,1
Direct,0
Traffic remained low as fewer people drove during the off-season.,0
high traffic volumes,1
An overflow parking situation is causing heavy congestion near the mall.,1
Traffic is worse than usual due to slippery roads.,1
Easy,0
Overcrowded intersections,1
Maintenance on alternative roads kept the primary routes clear and low in traffic.,0
There is an unexpected roadblock due to a fallen tree on the route.,1
Lane closures for bridge repairs are causing severe congestion.,1
Traffic ease,0
Few commuters,0
Minimal travel disruptions,0
heavy congestion during rush hours,1
Clear intersections helped keep traffic low in urban areas.,0
Overburdened roads,1
Quick completion of construction helped maintain low congestion.,0
heavy traffic,1
Crammed roads,1
Sparse urban traffic,0
Legible,0
Heavy traffic flow,1
Unobstructed routes,0
Low traffic impact,0
The road was empty after the construction project finished.,0
low traffic,0
Definite,0
Bright,0
intense flow,1
highway congestion,1
little traffic,0
tight traffic flow,1
Construction near the airport is backing up cars on multiple lanes.,1
jam-packed roads,1
Bumper-to-bumper traffic reported.,1
A vehicle breakdown in the left lane is creating a long delay.,1
Winding mountain roads with heavy snow are creating dangerous conditions.,1
Moderate,0
Road closures are causing additional congestion.,1
An absence of large trucks helped maintain smooth traffic flow.,0
Clear weather led to low traffic in the residential neighborhoods.,0
Soft,0
Low traffic flow,0
Low transit congestion,0
Rain has reduced visibility and is contributing to traffic backup.,1
Smooth ride,0
Low commute stress,0
Unoccupied intersections,0
bumper to bumper traffic reported,1
highway congestion,1
Uncluttered intersections,0
Uncluttered streets,0
"Street renovations were completed, resulting in low congestion.",0
Crowded lanes,1
clogged highways,1
The city is experiencing heavy traffic due to high usage.,1
intense traffic build-up,1
Clear pathways,0
Open road conditions,0
Luminous,0
Clear transportation route,0
robust flow,1
The morning commute is unusually slow due to weather.,1
Concrete,0
evening rush delays,1
Low traffic incidents,0
Straightforward,0
The morning commute is slower than usual because of road repairs.,1
Understood,0
Uninterrupted travel,0
Heavy congestion during rush hour.,1
Rush hour,1
High congestion,1
empty streets,0
Open transit routes,0
Concentrated traffic,1
peak traffic hours,1
Overcrowded streets,1
An overflow parking situation is causing heavy congestion near the mall.,1
Heavy street traffic,1
traffic-heavy routes,1
Pavement work on the main road is affecting the flow of traffic.,1
Understood,0
Clogged roads,1
Polished,0
Bad weather is impacting traffic flow on major routes.,1
Traffic is heavy across the city due to construction projects.,1
Road congestion,1
Heavy road congestion,1
Traffic relief,0
Significant delays near the terminal.,1
Effortless driving,0
It’s taking longer than usual because of rush hour traffic.,1
The evening rush is causing significant congestion.,1
Heavy traffic due to construction.,1
Upgraded bridge infrastructure kept traffic steady and low.,0
Freeway freedom,0
Many roads are backed up due to heavy commuter traffic.,1
Synced traffic signals helped maintain smooth traffic flow.,0
Construction of a new flyover is affecting nearby traffic.,1
Low traffic occupancy,0
"Speed limits are being strictly enforced in school zones, slowing traffic.",1
Effortless driving,0
intense vehicle crowding,1
Many roads are backed up due to heavy commuter traffic.,1
road blockage,1
Dense holiday traffic has resulted in bumper-to-bumper conditions.,1
Uncluttered traffic,0
Traffic pile-up,1
low flow,0
Traffic jam,1
Traffic delays,1
Heavy traffic due to construction.,1
Low-key,0
Slippery roads are adding to the usual traffic.,1
The approach to the toll plaza is slow due to malfunctioning barriers.,1
abundant flow,1
The early end of the workday saw reduced traffic in the business sector.,0
Off-peak commuting led to clear roads and faster travel times.,0
Slow moving traffic ahead.,1
abundant flow,1
Extended public transit hours helped reduce vehicle usage.,0
A traffic signal malfunction is causing a bottleneck downtown.,1
Uncrowded roads,0
Traffic void,0
heavy road use,1
It’s taking longer than usual because of rush hour traffic.,1
No obstacles; all clear,0
high-volume traffic periods,1
Clear intersections helped keep traffic low in urban areas.,0
The absence of heavy rain kept road conditions clear.,0
free flowing traffic,0
Speed bumps installed near the hospital are affecting traffic flow.,1
Heavy road traffic,1
Bright,0
The road closure for a farmer's market is rerouting traffic through a detour.,1
Construction near the airport is backing up cars on multiple lanes.,1
Jammed streets,1
A high volume of cars has led to traffic buildup on the freeway.,1
Drivers are facing long wait times due to heavy traffic.,1
The local festival's outdoor location kept traffic low in town.,0
congested streets,1
Luminous,0
Clear-cut,0
Slow moving traffic ahead.,1
Unobstructed,0
Low accident rates contributed to smoother flow on all main roads.,0
Open,0
robust flow,1
Empty city streets,0
Few commuters,0
Unobstructed routes,0
Reduced road activity,0
Low congestion zones,0
Heavy rain has led to a significant traffic build-up on the highway.,1
Roads are backed up with vehicles due to the rain.,1
Heavy traffic is typical during the morning commute.,1
Clogged intersections,1
Rain and traffic are making travel time longer.,1
Heavy pedestrian traffic in the business district is slowing down cars.,1
Smooth ride,0
Streamlined,0
The early end of the workday saw reduced traffic in the business sector.,0
Traffic is crawling near the concert venue due to increased cars.,1
Traffic influx,1
Minimal traffic congestion,0
congested traffic corridors,1
Sparse vehicle movement,0
Congestion is high due to construction around town.,1
Accident investigation is causing lane closures on a busy highway.,1
Rainy conditions are causing delays on the main roads.,1
Dry road conditions and clear skies helped maintain smooth flow.,0
high traffic,1
Weekend events outside the city kept traffic light on downtown streets.,0
Well-lit,0
Concrete,0
Lane reduction at the tunnel entrance is causing a major bottleneck.,1
Many roads are jammed with cars during rush hour.,1
The low tourism season resulted in lighter traffic in popular spots.,0
Uncrowded drive,0
no backups,0
An absence of events downtown led to low traffic in the area.,0
Clear weather led to easy and low-traffic driving on freeways.,0
Low volumes were reported as construction had finished recently.,0
Rain showers have created delays for evening drivers.,1
dense commuter traffic,1
busiest hours,1
Traffic ease,0
smooth flow,0
Road resurfacing on the bridge is causing lane closures and delays.,1
Delays are expected due to road maintenance.,1
Roads are crowded with vehicles heading out of town.,1
Gentle,0
no congestion,0
crowded highways during rush,1
Traffic is extremely heavy near the shopping district.,1
Sidewalk construction is affecting the flow of vehicles in the area.,1
Unburdened roadways,0
Smooth-flowing,0
rapid flow,1
Smooth transit,0
Empty streetscape,0
Traffic is heavy in areas affected by construction.,1
An accident in the tunnel has brought traffic to a standstill.,1
Sharp,0
abundant flow,1
Manifest,0
Low transit congestion,0
Clear motorways,0
Overcrowded streets,1
Morning errands saw light traffic on suburban roads.,0
Traffic is moving slowly due to ongoing construction.,1
Wide open roads,0
Limited traffic,0
traffic jams,1
"Roadside emergency repairs are reducing highway lanes, causing traffic.",1
Dense holiday traffic has resulted in bumper-to-bumper conditions.,1
Roads are backed up because of heavy usage during peak hours.,1
"Newly installed roundabouts improved traffic flow, reducing delays.",0
evening commute,1
Crisp,0
strong flow,1
Bumper-to-bumper traffic reported.,1
School zone traffic is adding to the morning rush hour bottleneck.,1
Clear pathways,0
Self-evident,0
Empty streetscape,0
Rain has reduced visibility and is contributing to traffic backup.,1
"A drizzle has turned into a downpour, slowing down traffic.",1
In plain sight,0
Placid,0
The lack of road closures kept traffic steady throughout the city.,0
Moderate traffic; expect delays.,1
Well-lit,0
Traffic jam caused by an accident.,1
Unobstructed roads,0
Apparent,0
Traffic buildup,1
"Heavy fog has reduced visibility, leading to slower traffic flow.",1
Rain has reduced visibility and is contributing to traffic backup.,1
"With no construction zones, traffic moved smoothly along the expressway.",0
Lane changes for new road paint are creating congestion on the highway.,1
Roadwork is contributing to citywide traffic delays.,1
Quiet commute,0
The city is experiencing heavy traffic due to high usage.,1
Limited vehicle movement,0
Traffic-free,0
overflowing traffic lanes,1
Large trucks are clogging up the roads near the industrial zone.,1
 no obstacles,0
traffic backups,1
intense traffic build-up,1
Less crowded,0
Heavy congestion during rush hour.,1
slow moving traffic ahead,1
Congested highway,1
Thin traffic,0
Fluid,0
Minimal,0
Highway congestion,1
Heavy traffic on the detour route is adding delay to commuters.,1
Weekend travel has caused traffic to build up on main routes.,1
A power outage at the toll booth is causing significant delays.,1
Daily travel saw smooth flow with no significant disruptions.,0
Unblocked roads,0
Concrete,0
Unburdened roadways,0
Low congestion zones,0
intense vehicle crowding,1
Wide-open expressways,0
Polished,0
Unoccupied roadways,0
long delays due to high traffic,1
Heavy traffic on the detour route is adding delay to commuters.,1
Traffic is bumper-to-bumper on the highway.,1
High tourist season has led to heavier-than-normal road traffic.,1
Sparse traffic density,0
Traffic is moving slowly due to a detour around flood-affected areas.,1
Unobstructed,0
Subtle,0
There’s been a lot of traffic this morning due to the weather.,1
evening rush delays,1
Unobstructed roads,0
Speed bumps installed near the hospital are affecting traffic flow.,1
Low vehicle density,0
Bright,0
Legible,0
"Traffic signals were well-timed, helping maintain low congestion.",0
Roadblock for a protest rally is diverting vehicles to smaller roads.,1
Police activity at the accident site is causing drivers to slow down.,1
Uncrowded cityscape,0
Uncrowded cityscape,0
Smooth-flowing,0
Sparse vehicular movement,0
Traffic is particularly slow in the downtown area.,1
Minimal vehicle interaction,0
rush hours,1
heavy traffic due to constructions,1
significant delays near terminal,1
An overflow parking situation is causing heavy congestion near the mall.,1
"The drive is slow due to slippery, wet roads.",1
Late-night hours saw minimal traffic on the city streets.,0
Mild,0
Open driving lanes,0
Emergency repair work on the overpass is causing lane restrictions.,1
peak time,1
smooth traffic,0
Sparse commuting traffic,0
Low congestion,0
There are delays due to a high volume of vehicles on the road.,1
Steady flow,0
no backups,0
Sparse traffic density,0
Pavement work on the main road is affecting the flow of traffic.,1
heavy_traffic,1
Open streetscapes,0
Nighttime construction restrictions have kept traffic minimal.,0
Heavy vehicle congestion,1
The completion of detours kept traffic flowing in the area.,0
Traffic is bumper-to-bumper on the highway.,1
packed streets,1
heavy commute times,1
There’s significant traffic on the way to the business district.,1
carefree driving,0
cluttered roadways,1
Unclouded,0
Traffic remained low as fewer people drove during the off-season.,0
Emergency road repairs are affecting flow on the mountain pass.,1
Heavy pedestrian traffic in the business district is slowing down cars.,1
"Quick toll booth processing reduced delays, maintaining low traffic on the expressway.",0
Manifest,0
High vehicle density,1
Drivers are facing a slowdown due to a marathon route along the city streets.,1
Empty rural roads,0
Smooth transit was observed with few interruptions due to low traffic.,0
Traffic-free,0
Freeway expansion projects have helped maintain low traffic.,0
Heavy commute,1
Dense holiday traffic has resulted in bumper-to-bumper conditions.,1
The highway is experiencing traffic delays due to fog.,1
rapid flow,1
Traffic is particularly slow in the downtown area.,1
"Weather warnings are causing people to drive cautiously, slowing traffic.",1
Unclogged highways,0
Low traffic interference,0
"Roadside emergency repairs are reducing highway lanes, causing traffic.",1
tight traffic flow,1
heavy flow,1
High tourist season has led to heavier-than-normal road traffic.,1
Sparse road traffic,0
Traffic saturation,1
The commute has slowed down due to heavy rain.,1
Low congestion periods,0
The early weekend rush led to a low-traffic Saturday afternoon.,0
Heavy traffic is slowing down everyone’s commute.,1
Accident investigation is causing lane closures on a busy highway.,1
road work causing delays on the main avenue,1
Low travel demand,0
Overfilled roads,1
The addition of bus lanes reduced vehicle congestion.,0
empty streets,0
Low traffic was observed due to fewer vehicles on the road at midday.,0
major traffic delays,1
Light showers are leading to cautious driving and traffic.,1
heavy flow,1
Emergency road repairs are affecting flow on the mountain pass.,1
Gentle,0
Heavy traffic jam,1
packed streets,1
The highway is experiencing traffic delays due to fog.,1
Low traffic flow,0
abundant flow,1
tight traffic flow,1
Morning commuters are facing significant traffic delays.,1
Unblocked roads,0
Fewer people commuting due to remote work led to low traffic.,0
The city center is seeing high traffic due to road repairs.,1
Packed thoroughfares,1
Clear travel was reported on roads unaffected by construction.,0
The bypass route is heavily congested due to bridge construction.,1
Firefighting efforts near the interstate are causing road closures.,1
Smooth-flowing,0
Traffic overcapacity,1
no traffic issue,0
pleasant traffic conditions,0
There’s significant traffic on the way to the business district.,1
constant stop-and-start flow,1
Sparse traffic density,0
Ice on the road is causing hazardous conditions and delays.,1
Lucid,0
Streamlined,0
Limited road users,0
Light vehicle presence,0
The early morning hours saw low traffic across most major routes.,0
heavy_traffic,1
Mellowed,0
Moderate traffic; expect delays.,1
abundant flow,1
high-volume traffic periods,1
vigorous flow,1
Speed bumps installed near the hospital are affecting traffic flow.,1
Poor visibility due to fog is causing slow movement on the bridge.,1
favourable driving conditions,0
Limited traffic,0
Intense traffic,1
Severe thunderstorms are causing vehicles to move cautiously.,1
Crowded highways,1
Traffic is worse than usual due to slippery roads.,1
Uncongested roads,0
Dense road traffic,1
Overloaded roads,1
highway backups,1
crowded roadways,1
Heavy congestion during rush hour.,1
Minimal roadway activity,0
heavy traffic,1
Self-evident,0
Little traffic,0
no traffic issue,0
Traffic jam,1
Safety improvements helped maintain a smooth and steady traffic flow.,0
clogged highways,1
The evening rush is causing significant congestion.,1
The road was clear with minimal traffic after the accident was cleared.,0
Many roads are backed up due to heavy commuter traffic.,1
Overcrowded highways,1
Extended public transit hours helped reduce vehicle usage.,0
Commuters are dealing with slow traffic on the freeway.,1
The opening of a new mall has increased traffic in the surrounding areas.,1
Heavy street traffic,1
Traffic congestion has increased due to late-night events.,1
Holiday closures of businesses resulted in lower-than-normal traffic in the area.,0
Heavy traffic is typical during the morning commute.,1
frequent hold-ups in traffic,1
Intense traffic,1
Heavy traffic is typical during the morning commute.,1
thick traffic atmosphere,1
Traffic overcapacity,1
Early morning hours saw low traffic due to cool weather.,0
Bad weather is impacting traffic flow on major routes.,1
Major streets are jam-packed with vehicles today.,1
Numerous cars are stuck in traffic due to a water main break.,1
Packed intersections,1
Busy highway,1
Unobstructed roads,0
high traffic density,1
traffic backups,1
Efficient traffic light timing led to reduced congestion and low traffic.,0
Police activity at the accident site is causing drivers to slow down.,1
Road blocked; please detour.,1
robust flow,1
Roads were clear with low congestion due to limited construction work.,0
Low commute stress,0
The road was empty during the early afternoon due to clear conditions.,0
The main road is heavily congested with vehicles.,1
heavy commuter flow,1
High traffic flow,1
Clear lanes,0
Minimal,0
incongested,0
rapid flow,1
Rush hour traffic is causing longer commute times.,1
Tranquil,0
Rain and fog have contributed to slow-moving traffic.,1
Drivers are moving at a crawl because of construction.,1
The opening of a new mall has increased traffic in the surrounding areas.,1
Traffic remained smooth as truck routes were diverted away from city streets.,0
Packed expressways,1
traffic spike during rush hour,1
jam-packed roads,1
Low commute stress,0
Uncluttered traffic,0
Crowded urban roads,1
There’s heavy traffic due to a breakdown on the main road.,1
"A drizzle has turned into a downpour, slowing down traffic.",1
carefree driving,0
Crowded expressways,1
The road was clear with minimal traffic after the accident was cleared.,0
Moderate traffic; expect delays.,1
Toll booth backups are affecting flow on the main interstate.,1
Bumper-to-bumper,1
high flow,1
clogged thoroughfares,1
no traffic jam,0
Commuters are dealing with slow traffic on the freeway.,1
Road blockage,1
Traffic relief,0
Heavy snowfall has made the roads slippery and slow-moving.,1
Low transit congestion,0
"Weather warnings are causing people to drive cautiously, slowing traffic.",1
Overcapacity traffic,1
"With no severe weather, traffic remained light and steady.",0
Unobstructed roads,0
Unoccupied parking spots,0
Apparent,0
Soft touch,0
Mellowed,0
abundant flow,1
Tranquil,0
Thick traffic,1
Open expressways,0
Traffic gridlock,1
Overburdened roads,1
Ice on the road is causing hazardous conditions and delays.,1
Visible,0
Congestion is high due to construction around town.,1
Dense traffic,1
crowded streets during peak hours,1
Construction work on main roads is worsening traffic.,1
major traffic buildup,1
heavy road use,1
Traffic jam caused by an accident.,1
"With fewer detours, traffic remained light on major roads.",0
Uncongested passageways,0
frequent hold-ups in traffic,1
A power outage at the toll booth is causing significant delays.,1
cluttered roadways,1
"Minimal delays were noted, and traffic flowed easily across town.",0
Road resurfacing on the bridge is causing lane closures and delays.,1
Freeway freedom,0
Low congestion zones,0
There’s heavy traffic on all routes leading downtown.,1
Calm,0
overloaded intersections,1
The city center is seeing high traffic due to road repairs.,1
Smooth ride,0
Early construction completion reduced rush-hour traffic.,0
Low density,0
Minimal congestion,0
sparse traffic,0
Underutilized roads,0
Merging traffic on the freeway is causing congestion near the city limits.,1
No traffic jam,0
Significant delays near the terminal.,1
no congestion,0
Efficient parking management kept congestion minimal downtown.,0
Low congestion was seen due to efficient road construction projects.,0
Roadblock for a protest rally is diverting vehicles to smaller roads.,1
Low traffic was noted in the area due to completed road repairs.,0
"A power outage has affected traffic lights, causing confusion and delays.",1
Crowded expressways,1
Road blocked; please detour.,1
Clearway access,0
Heavy pedestrian traffic in the business district is slowing down cars.,1
Pavement repairs in the city center are causing detours and delays.,1
High road usage,1
Sparse,0
Congested streets,1
Empty rural roads,0
Rainy conditions are causing delays on the main roads.,1
Efficient parking management kept congestion minimal downtown.,0
Congestion is high due to construction around town.,1
traffic spike during rush hour,1
Busy roadways,1
Busy roadways,1
Low congestion level,0
Lane restrictions have made the traffic even heavier.,1
An accident at the intersection has caused traffic to back up for miles.,1
Early hours saw low traffic as clear skies supported smooth travel.,0
packed streets,1
Sparse intersection traffic,0
Even,0
traffic is flowing well,0
Overfilled roads,1
Low congestion risk,0
"With fewer detours, traffic remained light on major roads.",0
Whisper,0
